                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.72272,                0.50753,                 1.2881,                0.99677,                      1,                  0.995,                 0.8421,                0.69582,                0.46536,                 1.2826,              0.0011024,              0.0011024,              0.0011024
                     37,                0.75229,                0.54511,                 1.3026,                0.99686,                      1,                  0.995,                0.83421,                0.72829,                0.43204,                 1.2578,               0.001076,               0.001076,               0.001076
                     38,                0.71978,                0.53743,                 1.2907,                0.97098,                      1,                0.99444,                0.74469,                 1.1432,                0.60066,                 1.6467,              0.0010496,              0.0010496,              0.0010496
                     39,                 0.7486,                0.53764,                  1.292,                      1,                0.98951,                  0.995,                0.79711,                0.75062,                0.45868,                 1.3016,              0.0010232,              0.0010232,              0.0010232
                     40,                0.70455,                0.50958,                 1.2633,                      1,                0.96936,                 0.9875,                0.80362,                0.70938,                0.51846,                 1.2539,              0.0009968,              0.0009968,              0.0009968
                     41,                0.73412,                0.53965,                 1.2989,                0.99194,                0.94286,                0.99164,                0.82589,                0.70565,                0.42406,                 1.2589,              0.0009704,              0.0009704,              0.0009704
                     42,                0.71121,                0.52076,                 1.2847,                0.85126,                0.91429,                0.91947,                0.54174,                 2.1742,                 1.3158,                 3.5705,               0.000944,               0.000944,               0.000944
                     43,                0.71501,                0.51347,                 1.2868,                0.99546,                      1,                  0.995,                0.80317,                0.65236,                 0.3934,                 1.3239,              0.0009176,              0.0009176,              0.0009176
                     44,                0.68623,                 0.4926,                 1.2635,                0.99853,                0.97143,                0.99167,                0.81354,                0.64235,                0.44613,                 1.2576,              0.0008912,              0.0008912,              0.0008912
                     45,                0.67791,                0.48735,                 1.2641,                0.99972,                      1,                  0.995,                0.82153,                0.63876,                0.39585,                 1.2244,              0.0008648,              0.0008648,              0.0008648
                     46,                0.69372,                0.48508,                 1.2787,                0.97215,                0.99746,                0.99361,                 0.7936,                0.85589,                  0.511,                 1.4002,              0.0008384,              0.0008384,              0.0008384
                     47,                 0.6763,                0.46518,                 1.2159,                      1,                0.99797,                  0.995,                0.83343,                0.69293,                0.37888,                 1.2639,               0.000812,               0.000812,               0.000812
                     48,                 0.6633,                0.45409,                 1.2304,                0.97091,                      1,                0.99444,                0.82425,                0.72964,                0.40912,                 1.3047,              0.0007856,              0.0007856,              0.0007856
                     49,                0.63035,                0.44054,                 1.2058,                 0.9976,                      1,                  0.995,                0.82333,                0.75728,                0.41322,                 1.3328,              0.0007592,              0.0007592,              0.0007592
                     50,                0.68392,                0.47379,                 1.2549,                      1,                0.99906,                  0.995,                0.83117,                0.64762,                0.35642,                 1.1972,              0.0007328,              0.0007328,              0.0007328
                     51,                0.64334,                 0.4403,                 1.2235,                0.99653,                      1,                  0.995,                 0.8313,                0.80442,                0.48084,                 1.3857,              0.0007064,              0.0007064,              0.0007064
                     52,                0.62183,                0.47214,                 1.2233,                0.99357,                0.97143,                0.99444,                0.84394,                0.64758,                0.39261,                 1.2414,                0.00068,                0.00068,                0.00068
                     53,                0.62516,                0.43192,                  1.212,                      1,                0.99799,                  0.995,                0.83795,                0.64962,                0.37453,                 1.2221,              0.0006536,              0.0006536,              0.0006536
                     54,                0.63794,                0.46013,                 1.2303,                0.99816,                      1,                  0.995,                0.84766,                0.75001,                0.35514,                 1.4363,              0.0006272,              0.0006272,              0.0006272
                     55,                 0.6131,                0.45411,                 1.2161,                0.99819,                      1,                  0.995,                0.86505,                0.76132,                0.35006,                 1.3929,              0.0006008,              0.0006008,              0.0006008
                     56,                0.62958,                0.42992,                 1.1898,                      1,                0.96951,                0.99342,                 0.8264,                0.71004,                0.39991,                  1.333,              0.0005744,              0.0005744,              0.0005744
                     57,                0.62476,                0.43389,                 1.1878,                0.96848,                0.94286,                0.98652,                0.79491,                 0.6713,                0.43035,                 1.2488,               0.000548,               0.000548,               0.000548
                     58,                0.59677,                0.40295,                 1.1713,                0.99507,                0.94286,                0.98923,                0.83723,                0.62757,                 0.3697,                 1.2061,              0.0005216,              0.0005216,              0.0005216
                     59,                0.59768,                0.40554,                 1.1847,                      1,                0.96891,                0.99444,                0.85206,                0.65794,                0.34863,                 1.2587,              0.0004952,              0.0004952,              0.0004952
                     60,                0.62088,                 0.4242,                 1.2006,                0.99782,                      1,                  0.995,                0.84248,                0.63855,                0.36028,                 1.2047,              0.0004688,              0.0004688,              0.0004688
                     61,                0.61241,                0.43009,                 1.1879,                0.99823,                      1,                  0.995,                0.86382,                0.56652,                0.35017,                 1.1156,              0.0004424,              0.0004424,              0.0004424
                     62,                0.59869,                0.40276,                 1.1633,                0.99839,                      1,                  0.995,                0.84336,                0.71326,                0.40388,                 1.2757,               0.000416,               0.000416,               0.000416
                     63,                0.59405,                0.39678,                 1.1861,                0.99811,                      1,                  0.995,                0.83137,                 0.6758,                0.38517,                 1.2576,              0.0003896,              0.0003896,              0.0003896
                     64,                 0.5421,                0.39094,                 1.1495,                0.99789,                      1,                  0.995,                0.84328,                0.77401,                0.37093,                 1.4274,              0.0003632,              0.0003632,              0.0003632
                     65,                0.59246,                0.40797,                 1.1637,                0.99533,                      1,                  0.995,                0.85162,                0.58707,                0.37882,                 1.2234,              0.0003368,              0.0003368,              0.0003368
                     66,                0.56301,                0.38982,                 1.2649,                0.99777,                      1,                  0.995,                0.83397,                0.77674,                0.39982,                 1.3615,              0.0003104,              0.0003104,              0.0003104
                     67,                0.53415,                0.35162,                  1.239,                0.99755,                      1,                  0.995,                0.85521,                 0.6511,                0.37481,                 1.2793,               0.000284,               0.000284,               0.000284
                     68,                0.51637,                0.33588,                 1.2538,                0.99849,                      1,                  0.995,                0.86384,                0.66773,                0.32199,                 1.3068,              0.0002576,              0.0002576,              0.0002576
                     69,                0.49554,                  0.318,                 1.2284,                0.99735,                      1,                  0.995,                0.87023,                0.67876,                0.35059,                 1.3345,              0.0002312,              0.0002312,              0.0002312
                     70,                0.48418,                 0.3215,                 1.1902,                0.99795,                      1,                  0.995,                0.86271,                0.62652,                0.31673,                 1.2834,              0.0002048,              0.0002048,              0.0002048
                     71,                0.50344,                0.31813,                 1.2374,                0.99805,                      1,                  0.995,                0.87655,                0.59538,                0.34868,                 1.1971,              0.0001784,              0.0001784,              0.0001784
                     72,                0.48509,                0.30389,                 1.1793,                0.99817,                      1,                  0.995,                0.85581,                0.66678,                0.38305,                 1.2476,               0.000152,               0.000152,               0.000152
                     73,                0.48185,                 0.3152,                 1.2135,                 0.9982,                      1,                  0.995,                 0.8589,                0.63797,                0.33888,                 1.2298,              0.0001256,              0.0001256,              0.0001256
                     74,                0.46701,                 0.3149,                 1.1906,                 0.9983,                      1,                  0.995,                0.86959,                0.62575,                0.31119,                 1.2189,               9.92e-05,               9.92e-05,               9.92e-05
                     75,                0.47617,                0.30773,                 1.1963,                0.99823,                      1,                  0.995,                0.87054,                0.61087,                0.31763,                 1.1941,               7.28e-05,               7.28e-05,               7.28e-05
